time,flux
1498.07718947775,0.9943297
1498.0980230580617,0.9987668
1498.1188566376163,1.000256
1498.1396902163312,0.996853
1498.1605237942865,0.99692947
1498.1813573713998,1.0043286
1498.2021909477537,1.000988
1498.2230245232647,0.9989531
1498.2438580980138,1.0013709
1498.2646916719182,1.0018516
1498.28552524506,0.99721485
1498.3063588173566,1.0011274
1498.3271923888883,0.99996114
1498.3480259595722,1.0035067
1498.368859529491,0.9981908
1498.38969309856,0.9983886
1498.410526666863,1.0027736
1498.4313602343154,1.0001713
1498.4521938009989,1.0010172
1498.4730273668297,1.0030215
1498.4938609318908,1.0024695
1498.5146944960989,0.99799436
1498.5355280595345,1.0021728
1498.556361622114,1.0020894
1498.577195183921,1.0039696
1498.5980287448713,1.0047657
1498.6188623050462,1.0016867
1498.639695864361,0.9985857
1498.6605294229003,1.0023973
1498.681362980578,1.0032988
1498.702196537479,1.0023059
1498.7230300935157,0.9982666
1498.743863648773,1.0027754
1498.764697203164,1.0096025
1498.7855307567747,0.99723333
1498.8063643095181,1.004679
1498.827197861481,1.0042088
1498.8480314125711,0.9989072
1498.8688649628784,0.9990565
1498.8896985123126,1.005631
1498.910532060963,1.003135
1498.9313656087368,1.0005833
1498.952199155724,1.0031598
1498.9730327018335,0.99658567
1498.9938662471557,1.0001777
1499.0146997915956,1.0003278
1499.035533335247,0.9998579
1499.0563668780153,0.99719226
1499.0772004199907,1.0029391
1499.0980339610876,1.0018997
1499.1188675013934,0.9996888
1499.139701040807,1.0020026
1499.1605345794198,1.0018861
1499.181368117143,1.0026052
1499.2022016540682,0.9968657
1499.2230351901,1.0056676
1499.2438687253311,0.9999288
1499.2647022596673,1.0025913
1499.285535793199,0.99948895
1499.3063693258343,1.0053458
1499.327202857665,1.0048938
1499.3480363885944,1.0019557
1499.3688699187157,1.0043097
1499.389703447934,1.003957
1499.4105369763417,1.0013514
1499.4313705038448,1.0012057
1499.452204030534,1.0012145
1499.473037556314,1.0054992
1499.4938710812787,1.0056707
1499.5147046053316,1.0027913
1499.5355381285672,1.0036198
1499.5563716508873,1.0041871
1499.5772051723861,1.0082676
1499.598038692967,1.0045185
1499.6188722127256,1.0031018
1499.639705731562,1.0037674
1499.6605392495715,0.9993789
1499.6813727666568,1.0034899
1499.7022062829126,1.0040443
1499.72303979824,1.0025988
1499.7438733127358,1.0032276
1499.7647068263016,1.0037719
1499.7855403390306,1.0054649
1499.8063738508263,1.0037973
1499.8272073617811,1.0032104
1499.848040871801,0.9964296
1499.8688743809755,1.0017276
1499.8897078892107,1.0034037
1499.9105413965985,1.0029774
1499.931374903044,0.998851
1499.9522084086375,1.0047965
1499.9730419132839,1.0029951
1499.993875417076,1.0091367
1500.0147089199181,1.0035837
1500.035542421901,1.004502
1500.056375922929,1.003281
1500.0772094230945,1.004443
1500.0980429223016,1.0046965
1500.1188764206433,1.003637
1500.1397099180217,1.0045221
1500.160543414532,1.0054069
1500.1813769100734,1.0021412
1500.2022104047414,1.0047917
1500.2230438984375,1.00144
1500.2438773912563,1.0055999
1500.2647108830993,1.0034978
1500.2855443740598,1.006999
1500.3063778640387,0.99914306
1500.327211353132,1.0082264
1500.3480448412402,1.0060097
1500.3688783284572,1.0037625
1500.3897118146829,1.0039997
1500.410545300013,1.0051185
1500.4313787843478,1.0028023
1500.4522122677834,1.004642
1500.4730457502185,1.0052599
1500.493879231749,0.9995192
1500.514712712272,1.0066627
1500.5355461918866,1.0012498
1500.5563796704885,1.0030763
1500.577213148177,1.0008339
1500.5980466248482,1.0044589
1500.6188801005994,1.0066857
1500.6397135753268,1.00484
1500.66054704913,1.0010347
1500.681380521904,1.0030113
1500.702213993748,1.0006768
1500.7230474645544,1.004937
1500.743880934428,1.0027554
1500.7647144032571,1.0008025
1500.7855478711485,1.0015078
1500.8063813379874,1.0020906
1500.8272148038823,1.0020462
1500.8480482687187,1.0047102
1500.8688817326063,0.9985309
1500.8897151954275,0.99931204
1500.910548657292,0.99830616
1500.9313821180847,1.0033575
1500.952215577914,1.0025667
1500.9730490366644,0.9998986
1500.9938824944438,1.004418
1501.0147159511387,1.0021936
1501.0355494068558,0.9988291
1501.0772163151173,1.006009
1501.0980497676537,1.0003195
1501.1188832192006,1.0058812
1501.1397166696352,0.99920183
1501.160550119072,1.0015236
1501.1813835673893,1.0022916
1501.2022170147018,1.0031718
1501.2230504608854,1.005374
